,date,equipe_dom,score_dom,score_ext,equipe_ext
0,03.11. 21:00,Arsenal,1,0,Zurich
1,03.11. 21:00,AS Roma,3,1,Ludogorets
2,03.11. 21:00,Betis,3,0,HJK
3,03.11. 21:00,Bodo/Glimt,1,2,PSV
4,03.11. 21:00,Braga,2,1,Malmo FF
5,03.11. 21:00,Dyn. Kyiv,0,2,Fenerbahce
6,03.11. 21:00,Rennes,1,1,AEK Larnaca
7,03.11. 21:00,Royale Union SG,0,1,Union Berlin
8,03.11. 18:45,Feyenoord,1,0,Lazio
9,03.11. 18:45,Midtjylland,2,0,Sturm Graz
10,03.11. 18:45,Monaco,4,1,Crvena zvezda
11,03.11. 18:45,Olympiacos Piraeus,0,2,Nantes
12,03.11. 18:45,Qarabag,1,1,Freiburg
13,03.11. 18:45,Real Sociedad,0,1,Manchester Utd
14,03.11. 18:45,Sheriff Tiraspol,1,0,Omonia
15,03.11. 18:45,Trabzonspor,1,0,Ferencvaros
16,27.10. 21:00,Crvena zvezda,2,1,Trabzonspor
17,27.10. 21:00,Ferencvaros,1,1,Monaco
18,27.10. 21:00,Freiburg,1,1,Olympiacos Piraeus
19,27.10. 21:00,HJK,1,2,AS Roma
20,27.10. 21:00,Manchester Utd,3,0,Sheriff Tiraspol
21,27.10. 21:00,Nantes,2,1,Qarabag
22,27.10. 21:00,Omonia,0,2,Real Sociedad
23,27.10. 21:00,Sturm Graz,1,0,Feyenoord
24,27.10. 18:45,AEK Larnaca,3,3,Dyn. Kyiv
25,27.10. 18:45,Fenerbahce,3,3,Rennes
26,27.10. 18:45,Lazio,2,1,Midtjylland
27,27.10. 18:45,Ludogorets,0,1,Betis
28,27.10. 18:45,Malmo FF,0,2,Royale Union SG
29,27.10. 18:45,PSV,2,0,Arsenal
30,27.10. 18:45,Union Berlin,1,0,Braga
31,27.10. 18:45,Zurich,2,1,Bodo/Glimt
32,20.10. 19:00,Arsenal,1,0,PSV
33,13.10. 21:00,Ferencvaros,2,1,Crvena zvezda
34,13.10. 21:00,Lazio,2,2,Sturm Graz
35,13.10. 21:00,Ludogorets,2,0,HJK
36,13.10. 21:00,Manchester Utd,1,0,Omonia
37,13.10. 21:00,PSV,5,0,Zurich
38,13.10. 21:00,Real Sociedad,3,0,Sheriff Tiraspol
39,13.10. 21:00,Trabzonspor,4,0,Monaco
40,13.10. 21:00,Union Berlin,1,0,Malmo FF
41,13.10. 18:45,AEK Larnaca,1,2,Fenerbahce
42,13.10. 18:45,Betis,1,1,AS Roma
43,13.10. 18:45,Bodo/Glimt,0,1,Arsenal
44,13.10. 18:45,Dyn. Kyiv,0,1,Rennes
45,13.10. 18:45,Feyenoord,2,2,Midtjylland
46,13.10. 18:45,Nantes,0,4,Freiburg
47,13.10. 18:45,Qarabag,0,0,Olympiacos Piraeus
48,13.10. 18:45,Royale Union SG,3,3,Braga
49,06.10. 21:00,Arsenal,3,0,Bodo/Glimt
50,06.10. 21:00,AS Roma,1,2,Betis
51,06.10. 21:00,Braga,1,2,Royale Union SG
52,06.10. 21:00,Fenerbahce,2,0,AEK Larnaca
53,06.10. 21:00,Freiburg,2,0,Nantes
54,06.10. 21:00,Midtjylland,2,2,Feyenoord
55,06.10. 21:00,Olympiacos Piraeus,0,3,Qarabag
56,06.10. 21:00,Rennes,2,1,Dyn. Kyiv
57,06.10. 18:45,Crvena zvezda,4,1,Ferencvaros
58,06.10. 18:45,HJK,1,1,Ludogorets
59,06.10. 18:45,Malmo FF,0,1,Union Berlin
60,06.10. 18:45,Monaco,3,1,Trabzonspor
61,06.10. 18:45,Omonia,2,3,Manchester Utd
62,06.10. 18:45,Sheriff Tiraspol,0,2,Real Sociedad
63,06.10. 18:45,Sturm Graz,0,0,Lazio
64,06.10. 18:45,Zurich,1,5,PSV
65,15.09. 21:00,AS Roma,3,0,HJK
66,15.09. 21:00,Betis,3,2,Ludogorets
67,15.09. 21:00,Bodo/Glimt,2,1,Zurich
68,15.09. 21:00,Braga,1,0,Union Berlin
69,15.09. 21:00,Dyn. Kyiv,0,1,AEK Larnaca
70,15.09. 21:00,Rennes,2,2,Fenerbahce
71,15.09. 21:00,Royale Union SG,3,2,Malmo FF
72,15.09. 18:45,Feyenoord,6,0,Sturm Graz
73,15.09. 18:45,Midtjylland,5,1,Lazio
74,15.09. 18:45,Monaco,0,1,Ferencvaros
75,15.09. 18:45,Olympiacos Piraeus,0,3,Freiburg
76,15.09. 18:45,Qarabag,3,0,Nantes
77,15.09. 18:45,Real Sociedad,2,1,Omonia
78,15.09. 18:45,Sheriff Tiraspol,0,2,Manchester Utd
79,15.09. 18:45,Trabzonspor,2,1,Crvena zvezda
80,08.09. 21:00,Crvena zvezda,0,1,Monaco
81,08.09. 21:00,Ferencvaros,3,2,Trabzonspor
82,08.09. 21:00,Freiburg,2,1,Qarabag
83,08.09. 21:00,Lazio,4,2,Feyenoord
