,Rank,Equipe,Country,Total_attempt,Attempt_on_target,Attempt_off_target,Blocked,Match_played
0,01,Man_United,England,112,37,46,29,6
1,02,Arsenal,England,101,31,46,24,6
2,03,Roma,Italy,99,33,37,29,6
3,04,Trabzonspor,Türkiye,96,37,37,22,6
4,05,Monaco,France,91,28,39,24,6
5,06,Freiburg,Germany,89,37,34,18,6
6,07,Sturm,Austria,85,26,41,18,6
7,08,Rennes,France,84,25,44,15,6
8,09,Real_Sociedad,Spain,83,27,40,16,6
9,10,Betis,Spain,82,31,26,25,6
10,11,Ludogorets,Bulgaria,81,33,31,17,6
11,11,Feyenoord,Netherlands,81,30,34,17,6
12,13,Braga,Portugal,80,38,25,17,6
13,14,Qarabağ,Azerbaijan,77,36,23,18,6
14,14,Union_Berlin,Germany,77,27,35,15,6
