,Rank,Equipe,Country,Ball_recover,Tackles,Tackles_Won,Tackles_Lost,Clearence_attempt,Match_played
0,01,Monaco,France,261,55,-,-,54,6
1,02,PSV,Netherlands,253,69,-,-,90,6
2,02,Crvena_zvezda,Serbia,253,48,-,-,98,6
3,04,Lazio,Italy,251,50,-,-,66,6
4,05,Nantes,France,246,55,-,-,119,6
5,06,Trabzonspor,Türkiye,244,47,-,-,118,6
6,07,Feyenoord,Netherlands,243,68,-,-,103,6
7,08,Betis,Spain,242,77,-,-,95,6
8,09,Olympiacos,Greece,240,70,-,-,151,6
9,10,Union_SG,Belgium,238,66,-,-,114,6
10,10,Freiburg,Germany,238,62,-,-,101,6
11,12,Bodø/Glimt,Norway,236,72,-,-,96,6
12,13,Sturm,Austria,235,54,-,-,120,6
13,14,Union_Berlin,Germany,232,74,-,-,89,6
14,14,Rennes,France,232,68,-,-,99,6
