,Rank,Equipe,Country,Fouls_Commited,Fouls_Suffered,Yellow_card,Red_card,Match_Played
0,01,Fenerbahçe,Türkiye,99,93,17,0,6
1,02,Union_Berlin,Germany,94,63,17,2,6
2,03,Dynamo_Kyiv,Ukraine,91,99,17,1,6
3,04,Crvena_zvezda,Serbia,86,78,17,1,6
4,04,Rennes,France,86,70,11,1,6
5,06,AEK_Larnaca,Cyprus,84,87,19,1,6
6,07,Union_SG,Belgium,83,74,13,0,6
7,08,Real_Sociedad,Spain,80,49,10,0,6
8,09,Ludogorets,Bulgaria,78,70,17,1,6
9,09,Sturm,Austria,78,57,26,2,6
10,11,Betis,Spain,76,55,19,0,6
11,11,Monaco,France,76,51,10,0,6
12,13,Feyenoord,Netherlands,74,55,13,0,6
13,14,Qarabağ,Azerbaijan,73,59,15,1,6
14,15,Braga,Portugal,70,85,15,0,6
