,Rank,Equipe,Country,Save,Goal_conceded,Own_goals_conceded,Saves_from_penalty,Punches_made,Match_played
0,01,Malmö,Sweden,33,11,0,0,0,6
1,02,HJK,Finland,28,13,1,0,0,6
2,03,Olympiacos,Greece,25,11,0,0,1,6
3,04,Omonoia,Cyprus,24,12,0,0,0,6
4,04,Ferencváros,Hungary,24,9,0,0,1,6
5,06,Nantes,France,23,11,1,0,1,6
6,06,Bodø/Glimt,Norway,23,10,1,0,0,6
7,08,AEK_Larnaca,Cyprus,22,10,1,1,1,6
8,09,Sheriff,Moldova,21,10,0,0,2,6
9,09,Ludogorets,Bulgaria,21,9,0,0,1,6
10,09,Qarabağ,Azerbaijan,21,5,0,0,3,6
11,09,PSV,Netherlands,21,4,0,0,2,6
12,13,Midtjylland,Denmark,20,8,0,1,1,6
13,14,Zürich,Switzerland,19,16,1,0,0,6
14,14,Crvena_zvezda,Serbia,19,11,1,0,0,6
