,Rank,Equipe,Country,Match_Played,Won,Drawn,Lost
0,01,Betis,Spain,6,5,1,0
1,01,Man_United,England,6,5,0,1
2,01,Arsenal,England,6,5,0,1
3,01,Real_Sociedad,Spain,6,5,0,1
4,01,Freiburg,Germany,6,4,2,0
5,01,Fenerbahçe,Türkiye,6,4,2,0
6,01,Union_SG,Belgium,6,4,1,1
7,01,PSV,Netherlands,6,4,1,1
8,01,Union_Berlin,Germany,6,4,0,2
9,01,Rennes,France,6,3,3,0
10,01,Braga,Portugal,6,3,1,2
11,01,Ferencváros,Hungary,6,3,1,2
12,01,Roma,Italy,6,3,1,2
13,01,Monaco,France,6,3,1,2
14,01,Trabzonspor,Türkiye,6,3,0,3
