,Rank,Nom,Equipe,Poste,Ball_recover,Tackles,Tackles_Won,Tackles_Lost,Clearance_Attempts,Match_played
0,01,Burgess,Union_SG,Defender,53,6,-,-,30,6
1,02,Bartra,Trabzonspor,Defender,52,9,-,-,28,6
2,03,Eraković,Crvena_zvezda,Defender,49,3,-,-,14,6
3,04,Mustafazade,Qarabağ,Defender,43,4,-,-,33,6
4,04,Disasi,Monaco,Defender,43,4,-,-,12,6
5,06,Miličević,AEK_Larnaca,Defender,42,8,-,-,29,6
6,07,Hancko,Feyenoord,Defender,40,9,-,-,29,6
7,07,Zabarnyi,Dynamo_Kyiv,Defender,40,8,-,-,14,5
8,07,Hysaj,Lazio,Defender,40,7,-,-,10,6
9,10,Ginter,Freiburg,Defender,39,8,-,-,14,6
10,10,S._Mmaee,Ferencváros,Defender,39,6,-,-,49,6
11,10,Tomović,AEK_Larnaca,Defender,39,5,-,-,19,6
12,13,Castelletto,Nantes,Defender,38,8,-,-,20,5
13,13,Elustondo,Real_Sociedad,Defender,38,8,-,-,15,6
14,13,Pallois,Nantes,Defender,38,4,-,-,27,5
