,Rank,Nom,Equipe,Poste,Fouls_Commited,Fouls_Suffered,Yellow_card,Red_card,Minutes_played,Match_played
0,01,Cicinho,Ludogorets,Defender,16,11,3,0,447,5
1,02,Sydorchuk,Dynamo_Kyiv,Midfielder,14,11,2,0,540,6
2,02,Tekpetey,Ludogorets,Forward,14,11,1,0,467,6
3,04,Miguel_Crespo,Fenerbahçe,Midfielder,12,13,0,0,367,5
4,04,Akouokou,Betis,Midfielder,12,6,2,0,358,5
5,04,Fabiano,Braga,Defender,12,4,3,0,395,5
6,07,Pešić,Crvena_zvezda,Forward,11,10,2,0,466,6
7,07,Cristante,Roma,Midfielder,11,6,1,0,438,6
8,07,Vetlesen,Bodø/Glimt,Midfielder,11,5,3,0,508,6
9,07,Assignon,Rennes,Defender,11,5,0,0,297,5
10,07,Vešović,Qarabağ,Defender,11,4,2,0,534,6
11,07,Fofana,Monaco,Midfielder,11,3,1,0,500,6
12,07,Orkun_Kökçü,Feyenoord,Midfielder,11,2,1,0,500,6
13,07,Richard_Almeida,Qarabağ,Midfielder,11,2,1,0,305,6
14,15,Martínez,Midtjylland,Midfielder,10,10,2,0,432,6
