,Rank,Equipe,Country,Pass_accuracy,Pass_attempted,Pass_completed,Cross_accuracy,Cross_attempted,Cross_completed,Freekick,Match_Played,Possesion
0,01,Real_Madrid,Spain,91.8,4121,3782,23,105,25,60,6,57.8
1,02,Man_City,England,91.5,4403,4030,23,132,31,51,6,64.2
2,03,Paris,France,90.5,3821,3466,19,68,13,109,6,55.5
3,04,Barcelona,Spain,88.8,3800,3390,25,156,40,95,6,62.5
4,05,Chelsea,England,88.5,3753,3328,35,114,41,96,6,60.8
5,06,Bayern,Germany,88.3,3520,3118,22,57,13,73,6,55.7
6,07,Leipzig,Germany,87.7,3392,2982,26,103,27,68,6,53.5
7,08,Celtic,Scotland,87.5,2946,2583,22,114,26,48,6,44.2
8,09,Marseille,France,87,3384,2957,14,116,17,92,6,59
9,10,Atlético,Spain,86.5,3368,2928,19,152,29,66,6,54
10,10,Shakhtar_Donetsk,Ukraine,86.5,2815,2443,20,45,9,60,6,44.5
11,12,Juventus,Italy,86.3,2848,2471,23,142,34,74,6,49.2
12,13,Benfica,Portugal,86,2904,2506,23,88,21,65,6,49.7
13,14,Napoli,Italy,85.8,3054,2644,34,79,27,93,6,50.7
14,15,Liverpool,England,85.5,3265,2792,27,140,39,72,6,55
15,15,Tottenham,England,85.5,3011,2577,20,120,24,66,6,48.3
16,17,Sevilla,Spain,85.3,2977,2549,29,97,29,82,6,50.5
17,18,Ajax,Netherlands,85,3184,2753,26,61,16,64,6,53.7
18,19,Leverkusen,Germany,84.7,3041,2583,22,97,22,61,6,52.3
19,20,M._Haifa,Israel,84.5,2524,2133,25,86,22,60,6,45.7
20,21,Dortmund,Germany,84.3,2929,2488,21,70,15,69,6,46.7
21,22,Inter,Italy,84.2,2817,2425,27,110,30,69,6,49.2
22,23,Milan,Italy,83.5,2632,2209,28,95,27,70,6,51.2
23,24,Dinamo_Zagreb,Croatia,82.7,2651,2196,21,74,16,98,6,47.5
24,25,Copenhagen,Denmark,82,2324,1918,30,59,18,53,6,38.7
25,26,Sporting,CP,Portugal,81.8,2652,2187,23,65,15,106,6
26,27,Club_Brugge,Belgium,81.5,2609,2126,22,72,16,86,6,47.7
27,28,Frankfurt,Germany,80,2674,2145,17,74,13,78,6,45
28,29,Rangers,Scotland,79.5,2247,1788,25,88,22,73,6,40.7
29,30,Porto,Portugal,79.3,2430,1939,23,80,19,86,6,46
