,Rank,Equipe,Country,Match_Played,Won,Drawn,Lost
0,01,Bayern,Germany,6,6,0,0
1,01,Liverpool,England,6,5,0,1
2,01,Napoli,Italy,6,5,0,1
3,01,Man_City,England,6,4,2,0
4,01,Paris,France,6,4,2,0
5,01,Benfica,Portugal,6,4,2,0
6,01,Chelsea,England,6,4,1,1
7,01,Real_Madrid,Spain,6,4,1,1
8,01,Porto,Portugal,6,4,0,2
9,01,Leipzig,Germany,6,4,0,2
10,01,Club_Brugge,Belgium,6,3,2,1
11,01,Tottenham,England,6,3,2,1
12,01,Inter,Italy,6,3,1,2
13,01,Frankfurt,Germany,6,3,1,2
14,01,Milan,Italy,6,3,1,2
