,team,nb_match,win,draw,lose,GF,GA,GD,pts,Groupe
0,Napoli,6,5,0,1,20,6,14,15,A
1,Liverpool,6,5,0,1,17,6,11,15,A
2,Ajax,6,2,0,4,11,16,-5,6,A
3,Rangers,6,0,0,6,2,22,-20,0,A
4,Porto,6,4,0,2,12,7,5,12,B
5,Club Brugge,6,3,2,1,7,4,3,11,B
6,Leverkusen,6,1,2,3,4,8,-4,5,B
7,Atlético,6,1,2,3,5,9,-4,5,B
8,Bayern,6,6,0,0,18,2,16,18,C
9,Inter,6,3,1,2,10,7,3,10,C
10,Barcelona,6,2,1,3,12,12,0,7,C
11,Plzeň,6,0,0,6,5,24,-19,0,C
12,Tottenham,6,3,2,1,8,6,2,11,D
13,Frankfurt,6,3,1,2,7,8,-1,10,D
14,Sporting CP,6,2,1,3,8,9,-1,7,D
15,Marseille,6,2,0,4,8,8,0,6,D
16,Chelsea,6,4,1,1,10,4,6,13,E
17,Milan,6,3,1,2,12,7,5,10,E
18,Salzburg,6,1,3,2,5,9,-4,6,E
19,Dinamo Zagreb,6,1,1,4,4,11,-7,4,E
20,Real Madrid,6,4,1,1,15,6,9,13,F
21,Leipzig,6,4,0,2,13,9,4,12,F
22,Shakhtar Donetsk,6,1,3,2,8,10,-2,6,F
23,Celtic,6,0,2,4,4,15,-11,2,F
24,Man City,6,4,2,0,14,2,12,14,G
25,Dortmund,6,2,3,1,10,5,5,9,G
26,Sevilla,6,1,2,3,6,12,-6,5,G
27,Copenhagen,6,0,3,3,1,12,-11,3,G
28,Benfica,6,4,2,0,16,7,9,14,H
29,Paris,6,4,2,0,16,7,9,14,H
30,Juventus,6,1,0,5,9,13,-4,3,H
31,M. Haifa,6,1,0,5,7,21,-14,3,H
