Rank,Nom,Equipe,Poste,Assist,Corner_taken,Offside,Dribble,Match_played
1,Messi,Paris,Forward,4,8,0,17,5
1,João_Cancelo,Man_City,Defender,4,0,2,15,6
1,Diogo_Jota,Liverpool,Forward,4,0,0,3,4
4,Kimmich,Bayern,Midfielder,3,16,0,3,5
4,Neymar,Paris,Forward,3,14,0,27,5
4,Perišić,Tottenham,Midfielder,3,11,1,6,5
4,De_Bruyne,Man_City,Midfielder,3,9,0,4,4
4,Di_María,Juventus,Forward,3,8,0,11,3
4,Mbappé,Paris,Forward,3,1,8,39,6
4,Gnabry,Bayern,Forward,3,1,4,6,5
4,André_Silva,Leipzig,Forward,3,0,3,1,6
4,Kvaratskhelia,Napoli,Forward,3,0,0,29,5
4,Zambo_Anguissa,Napoli,Midfielder,3,0,0,11,5
4,Simakan,Leipzig,Defender,3,0,0,8,6
4,Goretzka,Bayern,Midfielder,3,0,0,1,5
